Source_Position,Source,Source_well,Volume,Destination_Plate,destination.well
Rack,DMSO,A1,80,384_Master,K23
Rack,DMSO,A1,80,384_Master,C24
Rack,DMSO,A1,80,384_Master,K24
Rack,DMSO,A1,80,384_Master,G14
Rack,DMSO,A1,80,384_Master,J05
Rack,DMSO,A1,80,384_Master,M19
Rack,DMSO,A1,80,384_Master,G05
Rack,DMSO,A1,80,384_Master,L02
Rack,DMSO,A1,80,384_Master,C16
Rack,DMSO,A1,80,384_Master,B08
Rack,DMSO,A1,80,384_Master,G08
Rack,DMSO,B1,80,384_Master,L18
Rack,DMSO,B1,80,384_Master,D10
Rack,DMSO,B1,80,384_Master,M18
Rack,DMSO,B1,80,384_Master,G16
Rack,DMSO,B1,80,384_Master,B03
Rack,DMSO,B1,80,384_Master,I08
Rack,DMSO,B1,80,384_Master,F16
Rack,DMSO,B1,80,384_Master,L06
Rack,DMSO,B1,80,384_Master,E13
Rack,Stauro_500nM,A2,80,384_Master,H14
Rack,Stauro_500nM,B1,80,384_Master,J19
Rack,Stauro_500nM,B1,80,384_Master,O17
Rack,Stauro_500nM,A2,80,384_Master,O23
Rack,Stauro_500nM,A2,80,384_Master,A09
Rack,DMSO,B1,80,384_Master,L13
Rack,DMSO,A2,80,384_Master,I13
Rack,DMSO,A1,80,384_Master,P13
Rack,DMSO,B1,80,384_Master,N13
Rack,DMSO,B1,80,384_Master,J13
Rack,DMSO,A1,80,384_Master,D13
Rack,DMSO,B1,80,384_Master,B13
Rack,DMSO,A1,80,384_Master,K13
Rack,DMSO,B1,80,384_Master,O13
Rack,DMSO,B1,80,384_Master,F13
Rack,DMSO,A1,80,384_Master,M13
Rack,DMSO,A2,80,384_Master,G13
Rack,DMSO,B1,80,384_Master,H13
Rack,Stauro_500nM,A2,80,384_Master,C13
Rack,Stauro_500nM,A2,80,384_Master,A13
Rack,Stauro_500nM,A2,80,384_Master,A01
Rack,DMSO,B1,80,384_Master,A24
Rack,DMSO,A1,80,384_Master,P01
Rack,DMSO,B1,80,384_Master,P24
