"","concentration_pair","drug_pair","rep","destination.well","pipetting_iteration","source.well","Destination_Plate","Source_Position","volume"
"1","1-max_1-max","AB",1,"L10","well1","A1","384_Master","Master_Library_DWPlate",30
"2","1-max_2","AB",1,"G01","well1","A1","384_Master","Master_Library_DWPlate",30
"3","1-max_3","AB",1,"N24","well1","A1","384_Master","Master_Library_DWPlate",30
"4","1-max_4","AB",1,"O20","well1","A1","384_Master","Master_Library_DWPlate",30
"5","1-max_5-min","AB",1,"B11","well1","A1","384_Master","Master_Library_DWPlate",30
"6","1-max_6-DMSO","AB",1,"H13","well1","A1","384_Master","Master_Library_DWPlate",30
"7","2_1-max","AB",1,"H08","well1","A2","384_Master","Master_Library_DWPlate",30
"8","2_2","AB",1,"N13","well1","A2","384_Master","Master_Library_DWPlate",30
"9","2_3","AB",1,"F14","well1","A2","384_Master","Master_Library_DWPlate",30
"10","2_4","AB",1,"O10","well1","A2","384_Master","Master_Library_DWPlate",30
"11","2_5-min","AB",1,"B13","well1","A2","384_Master","Master_Library_DWPlate",30
"12","2_6-DMSO","AB",1,"N17","well1","A2","384_Master","Master_Library_DWPlate",30
"13","3_1-max","AB",1,"G20","well1","A3","384_Master","Master_Library_DWPlate",30
"14","3_2","AB",1,"B09","well1","A3","384_Master","Master_Library_DWPlate",30
"15","3_3","AB",1,"E12","well1","A3","384_Master","Master_Library_DWPlate",30
"16","3_4","AB",1,"J22","well1","A3","384_Master","Master_Library_DWPlate",30
"17","3_5-min","AB",1,"M05","well1","A3","384_Master","Master_Library_DWPlate",30
"18","3_6-DMSO","AB",1,"E21","well1","A3","384_Master","Master_Library_DWPlate",30
"19","4_1-max","AB",1,"L21","well1","A4","384_Master","Master_Library_DWPlate",30
"20","4_2","AB",1,"E07","well1","A4","384_Master","Master_Library_DWPlate",30
"21","4_3","AB",1,"D14","well1","A4","384_Master","Master_Library_DWPlate",30
"22","4_4","AB",1,"I19","well1","A4","384_Master","Master_Library_DWPlate",30
"23","4_5-min","AB",1,"J11","well1","A4","384_Master","Master_Library_DWPlate",30
"24","4_6-DMSO","AB",1,"F05","well1","A4","384_Master","Master_Library_DWPlate",30
"25","5-min_1-max","AB",1,"D16","well1","A5","384_Master","Master_Library_DWPlate",30
"26","5-min_2","AB",1,"F01","well1","A5","384_Master","Master_Library_DWPlate",30
"27","5-min_3","AB",1,"N18","well1","A5","384_Master","Master_Library_DWPlate",30
"28","5-min_4","AB",1,"H10","well1","A5","384_Master","Master_Library_DWPlate",30
"29","5-min_5-min","AB",1,"B02","well1","A5","384_Master","Master_Library_DWPlate",30
"30","5-min_6-DMSO","AB",1,"M04","well1","A5","384_Master","Master_Library_DWPlate",30
"31","6-DMSO_1-max","AB",1,"D15","well1","A6","384_Master","Master_Library_DWPlate",30
"32","6-DMSO_2","AB",1,"L03","well1","A6","384_Master","Master_Library_DWPlate",30
"33","6-DMSO_3","AB",1,"M07","well1","A6","384_Master","Master_Library_DWPlate",30
"34","6-DMSO_4","AB",1,"H09","well1","A6","384_Master","Master_Library_DWPlate",30
"35","6-DMSO_5-min","AB",1,"P05","well1","A6","384_Master","Master_Library_DWPlate",30
"36","6-DMSO_6-DMSO","AB",1,"J03","well1","A6","384_Master","Master_Library_DWPlate",30
"37","1-max_1-max","AB",2,"O07","well1","A1","384_Master","Master_Library_DWPlate",30
"38","1-max_2","AB",2,"P23","well1","A1","384_Master","Master_Library_DWPlate",30
"39","1-max_3","AB",2,"P07","well1","A1","384_Master","Master_Library_DWPlate",30
"40","1-max_4","AB",2,"M11","well1","A1","384_Master","Master_Library_DWPlate",30
"41","1-max_5-min","AB",2,"I11","well1","A1","384_Master","Master_Library_DWPlate",30
"42","1-max_6-DMSO","AB",2,"J15","well1","A1","384_Master","Master_Library_DWPlate",30
"43","2_1-max","AB",2,"M24","well1","A2","384_Master","Master_Library_DWPlate",30
"44","2_2","AB",2,"B15","well1","A2","384_Master","Master_Library_DWPlate",30
"45","2_3","AB",2,"F11","well1","A2","384_Master","Master_Library_DWPlate",30
"46","2_4","AB",2,"L19","well1","A2","384_Master","Master_Library_DWPlate",30
"47","2_5-min","AB",2,"J06","well1","A2","384_Master","Master_Library_DWPlate",30
"48","2_6-DMSO","AB",2,"G18","well1","A2","384_Master","Master_Library_DWPlate",30
