"","substance","source.well","destination.well","Destination_Plate","Source_Position","volume"
"1","DMSO","A7","M19","384_Master","Master_Library_DWPlate",60
"2","DMSO","A7","L20","384_Master","Master_Library_DWPlate",60
"3","DMSO","A7","E03","384_Master","Master_Library_DWPlate",60
"4","DMSO","A7","B17","384_Master","Master_Library_DWPlate",60
"5","DMSO","A7","A10","384_Master","Master_Library_DWPlate",60
"6","DMSO","A7","I20","384_Master","Master_Library_DWPlate",60
"7","DMSO","A7","J19","384_Master","Master_Library_DWPlate",60
"8","DMSO","A7","K24","384_Master","Master_Library_DWPlate",60
"9","DMSO","A7","D08","384_Master","Master_Library_DWPlate",60
"10","DMSO","A7","O17","384_Master","Master_Library_DWPlate",60
"11","DMSO","B7","G16","384_Master","Master_Library_DWPlate",60
"12","DMSO","B7","J14","384_Master","Master_Library_DWPlate",60
"13","DMSO","B7","L02","384_Master","Master_Library_DWPlate",60
"14","DMSO","B7","O06","384_Master","Master_Library_DWPlate",60
"15","DMSO","B7","I08","384_Master","Master_Library_DWPlate",60
"16","DMSO","B7","M20","384_Master","Master_Library_DWPlate",60
"17","DMSO","B7","K09","384_Master","Master_Library_DWPlate",60
"18","DMSO","B7","L15","384_Master","Master_Library_DWPlate",60
"19","DMSO","B7","G08","384_Master","Master_Library_DWPlate",60
"20","DMSO","B7","B03","384_Master","Master_Library_DWPlate",60
"21","DMSO","C7","L18","384_Master","Master_Library_DWPlate",60
"22","DMSO","C7","A11","384_Master","Master_Library_DWPlate",60
"23","DMSO","C7","A17","384_Master","Master_Library_DWPlate",60
"24","DMSO","C7","G05","384_Master","Master_Library_DWPlate",60
"25","DMSO","C7","J02","384_Master","Master_Library_DWPlate",60
"26","DMSO","C7","E18","384_Master","Master_Library_DWPlate",60
"27","DMSO","C7","F09","384_Master","Master_Library_DWPlate",60
"28","DMSO","C7","G09","384_Master","Master_Library_DWPlate",60
"29","DMSO","C7","A13","384_Master","Master_Library_DWPlate",60
"30","DMSO","C7","H14","384_Master","Master_Library_DWPlate",60
"31","DMSO","D7","C16","384_Master","Master_Library_DWPlate",60
"32","DMSO","D7","L06","384_Master","Master_Library_DWPlate",60
"33","DMSO","D7","H05","384_Master","Master_Library_DWPlate",60
"34","DMSO","D7","E17","384_Master","Master_Library_DWPlate",60
"35","DMSO","D7","P24","384_Master","Master_Library_DWPlate",60
"36","DMSO","D7","C09","384_Master","Master_Library_DWPlate",60
"37","DMSO","D7","I14","384_Master","Master_Library_DWPlate",60
"38","DMSO","D7","N14","384_Master","Master_Library_DWPlate",60
"39","DMSO","D7","M16","384_Master","Master_Library_DWPlate",60
"40","DMSO","D7","P06","384_Master","Master_Library_DWPlate",60
"41","Staurosporine","A8","P15","384_Master","Master_Library_DWPlate",60
"42","Staurosporine","A8","G12","384_Master","Master_Library_DWPlate",60
"43","Staurosporine","A8","O23","384_Master","Master_Library_DWPlate",60
"44","Staurosporine","A8","F16","384_Master","Master_Library_DWPlate",60
"45","Staurosporine","A8","J05","384_Master","Master_Library_DWPlate",60
"46","Staurosporine","A8","B06","384_Master","Master_Library_DWPlate",60
"47","Staurosporine","A8","N10","384_Master","Master_Library_DWPlate",60
"48","Staurosporine","A8","D10","384_Master","Master_Library_DWPlate",60
"49","Staurosporine","A8","E06","384_Master","Master_Library_DWPlate",60
"50","Staurosporine","A8","O22","384_Master","Master_Library_DWPlate",60
"51","Staurosporine","B8","M18","384_Master","Master_Library_DWPlate",60
"52","Staurosporine","B8","E13","384_Master","Master_Library_DWPlate",60
"53","Staurosporine","B8","K23","384_Master","Master_Library_DWPlate",60
"54","Staurosporine","B8","F03","384_Master","Master_Library_DWPlate",60
"55","Staurosporine","B8","G14","384_Master","Master_Library_DWPlate",60
"56","Staurosporine","B8","B08","384_Master","Master_Library_DWPlate",60
"57","Staurosporine","B8","O03","384_Master","Master_Library_DWPlate",60
"58","Staurosporine","B8","M21","384_Master","Master_Library_DWPlate",60
"59","Staurosporine","B8","A09","384_Master","Master_Library_DWPlate",60
"60","Staurosporine","B8","C24","384_Master","Master_Library_DWPlate",60
